,w/c,Water (kg/m3),Cement (kg/m3),Fly Ash (kg/m3),Type A,Type D,ASTM C494 Type F (g/kg),Slag (kg/m3),Superplasticizer (kg/m3),Fine Aggregate (kg/m3),Coarse Aggregate (kg),Limestone (kg/m3),Filler (kg/m3),RCA (kg/m3),Silica Fume (kg/m3),,,3 days,7 days,28 days,120 days,,Fineness Modulus (Fine Aggregate),Absorption % (Fine Aggregate),Absorption % (Coarse Aggregate),Coarse aggregate size (mm),Cement Cost estimate/m^3,Fly Ash Cost estimate/m^3,Fine Aggregate Cost estimate/m^3,Coarse Aggregate Cost estimate/m^3,Slag Cost estimate/m^3,Limestone Cost estimate/m^3,Total Cost Estimate/m^3
87,0.55,154,280,0,0,0,0,0,0,1080,796,98,0,0,0,0,,,,27.3,,,,,,,47.376,0,12.24,14.08849558,0,2.94,76.64449558
88,0.5,140,280,0,0,0,0,0,0.56,110,810,100,0,0,0,0,,,,30.7,,,,,,,47.376,0,1.246666667,14.33628319,0,3,65.95894985
89,0.45,126,280,0,0,0,0,0,1.12,1120,825,102,0,0,0,0,,,,33.1,,,,,,,47.376,0,12.69333333,14.60176991,0,3.06,77.73110324
90,0.4,112,280,0,0,0,0,0,1.68,1140,840,104,0,0,0,0,,,,37.4,,,,,,,47.376,0,12.92,14.86725664,0,3.12,78.28325664
91,0.35,98,280,0,0,0,0,0,2.8,1160,855,106,0,0,0,0,,,,48.3,,,,,,,47.376,0,13.14666667,15.13274336,0,3.18,78.83541003
92,0.3,84,280,0,0,0,0,0,4.2,1180,870,108,0,0,0,0,,,,56.9,,,,,,,47.376,0,13.37333333,15.39823009,0,3.24,79.38756342
93,0.58,140,240,0,0,0,0,0,0.56,1120,820,102,0,0,0,0,,,,23.5,,,,,,,40.608,0,12.69333333,14.51327434,0,3.06,70.87460767
94,0.54,140,260,0,0,0,0,0,0.56,1110,815,101,0,0,0,0,,,,28.3,,,,,,,43.992,0,12.58,14.42477876,0,3.03,74.02677876
95,0.5,140,280,0,0,0,0,0,0.56,1100,810,100,0,0,0,0,,,,30.7,,,,,,,47.376,0,12.46666667,14.33628319,0,3,77.17894985
96,0.47,140,300,0,0,0,0,0,0.56,1090,805,99,0,0,0,0,,,,33.7,,,,,,,50.76,0,12.35333333,14.24778761,0,2.97,80.33112094
97,0.44,140,320,0,0,0,0,0,0.56,1080,800,98,0,0,0,0,,,,35.5,,,,,,,54.144,0,12.24,14.15929204,0,2.94,83.48329204
98,0.41,140,340,0,0,0,0,0,0.56,1070,795,97,0,0,0,0,,,,36.5,,,,,,,57.528,0,12.12666667,14.07079646,0,2.91,86.63546313
99,0.42,85.6,204,0,0,0,0,0,0,1288,733,0,0,0,0,0,,,,12.5,,,,,,,34.5168,0,14.59733333,12.97345133,0,0,62.08758466
100,0.42,85.6,204,0,0,0,0,0,0,1145,916,0,0,0,0,0,,,,12.5,,,,,,,34.5168,0,12.97666667,16.21238938,0,0,63.70585605
101,0.42,85.6,204,0,0,0,0,0,0,1030,1030,0,0,0,0,0,,,,14.5,,,,,,,34.5168,0,11.67333333,18.2300885,0,0,64.42022183
102,0.42,85.6,204,0,0,0,0,0,0,937,1123,0,0,0,0,0,,,,27.5,,,,,,,34.5168,0,10.61933333,19.87610619,0,0,65.01223953
103,0.42,85.6,204,0,0,0,0,0,0,859,1202,0,0,0,0,0,,,,29.0,,,,,,,34.5168,0,9.735333333,21.27433628,0,0,65.52646962
104,0.42,85.6,204,0,0,0,0,0,0,793,1268,0,0,0,0,0,,,,29.5,,,,,,,34.5168,0,8.987333333,22.44247788,0,0,65.94661121
105,0.42,85.6,204,0,0,0,0,0,0,736,1325,0,0,0,0,0,,,,30.0,,,,,,,34.5168,0,8.341333333,23.45132743,0,0,66.30946077
106,0.42,112.8,268,0,0,0,0,0,0,1230,738,0,0,0,0,0,,,,30.0,,,,,,,45.3456,0,13.94,13.0619469,0,0,72.3475469
107,0.42,112.8,268,0,0,0,0,0,0,1094,875,0,0,0,0,0,,,,31.0,,,,,,,45.3456,0,12.39866667,15.48672566,0,0,73.23099233
108,0.42,112.8,268,0,0,0,0,0,0,984,984,0,0,0,0,0,,,,32.5,,,,,,,45.3456,0,11.152,17.4159292,0,0,73.9135292
109,0.42,112.8,268,0,0,0,0,0,0,895,1074,0,0,0,0,0,,,,36.0,,,,,,,45.3456,0,10.14333333,19.00884956,0,0,74.49778289
110,0.42,112.8,268,0,0,0,0,0,0,820,1158,0,0,0,0,0,,,,37.5,,,,,,,45.3456,0,9.293333333,20.49557522,0,0,75.13450855
111,0.42,112.8,268,0,0,0,0,0,0,757,1211.5,0,0,0,0,0,,,,38.5,,,,,,,45.3456,0,8.579333333,21.44247788,0,0,75.36741121
112,0.42,112.8,268,0,0,0,0,0,0,703,1266,0,0,0,0,0,,,,40.5,,,,,,,45.3456,0,7.967333333,22.40707965,0,0,75.72001298
